StudentId,EnrollmentNumber,FirstName,MiddleName,LastName,DateOfBirth,EnrollmentDate,EmailId,Gender,ContactNumber,AlternateNumber,University,Stream,PermanentAddress,City,Country,ZipCode,CurrentAddress,category
167,4701,Tristan Lopez,Tristan Lopez,Tristan Lopez,1990-05-10,2021-05-10,meghan46@yahoo.com,Male,3997647286,6631384022,Oxford,Architect,"0473 Lance Falls North Dennis, MS 31358",,Gabon,43255,,
433,2092,Brianna Weber,Brianna Weber,Brianna Weber,1914-05-10,1964-05-10,craigsmith@yahoo.com,Female,5236827147,8294985210,Oxford,Computers,"13384 Hodges Gateway Harrismouth, MO 79076",,Puerto Rico,4543,,
326,3781,Tiffany Lewis,Tiffany Lewis,Tiffany Lewis,1984-05-10,2009-12-16,christine44@yahoo.com,Female,3941785617,5992661270,Imperial College of London,Science,USS Li FPO AA 26998,,Venezuela,56576,,
222,1504,David Hamilton,David Hamilton,David Hamilton,1984-05-10,2004-05-10,tobrien@gmail.com,Male,7048841730,9336921597,Cambridge,Science,"222 Kelsey Via West Maryfurt, MA 93819",,Timor-Leste,766588,,
249,2451,Brian Hayden,Brian Hayden,Brian Hayden,1984-05-10,1999-06-10,phyllisnelson@gmail.com,Male,2246191305,4687206482,Imperial College of London,Science,"9657 Tracy Mills Port Amy, GU 18028",,Marshall Islands,356,,
430,2045,Joan Williams,Joan Williams,Joan Williams,1984-05-10,1999-05-10,lawrencenelson@gmail.com,Female,7958320435,8956292765,Oxford,Engineering,"4054 Timothy WaysEast Sophia, TX 80097",,Saint Helena,5667,,
209,3606,Benjamin Clark,Benjamin Clark,Benjamin Clark,1909-12-16,1999-01-10,justinnewman@hotmail.com,Male,4592329690,8746835928,University of Chicago,Engineering,"763 Rachel Court Austinland, NM 74361",,Turkey,65676,,
472,3119,Erika Henson,Erika Henson,Erika Henson,1914-05-10,1954-5-11,allisonnorris@hotmail.com,Female,7584847302,6608057919,University of Chicago,Law,"5954 Tracy Street Jenniferton, UT 47857",,Jersey,,,
422,4316,Angie Torres,Angie Torres,Angie Torres,1899-05-10,1909-12-16,jacksonmichael@yahoo.com,Female,3899469222,1599598471,University of Manchester,Law,"28021 Roberts Springs Apt. 841 Kellyton, NC 89653",,Nicaragua,,,
244,3671,Lee Johnson,Lee Johnson,Lee Johnson,1990-05-10,2012-05-10,kennethmiller@hotmail.com,Male,2253466560,9494220405,University of Chicago,Engineering,"788 Hudson Bypass Dylanhaven, MO 36720",,Zimbabwe,,,
328,1173,Kyle Gonzalez,Kyle Gonzalez,Kyle Gonzalez,1992-05-10,2012-05-10,ucabrera@gmail.com,Male,4718289612,9002534539,Imperial College of London,Medical,Unit 5174 Box 8401 DPO AA 67284,,Angola,56457,,
453,2066,Andrew Giles,Andrew Giles,Andrew Giles,1909-12-16,1944-05-10,bowmandiana@gmail.com,Male,8783031819,2707661617,Oxford,Medical,"157 Miller Lodge North Cynthia, NJ 50438",,Malawi,67758,,
347,2674,Kimberly Jensen,Kimberly Jensen,Kimberly Jensen,1984-05-10,2000-05-10,cathy90@gmail.com,Female,4341553782,4808681637,University of Manchester,Architect,"0759 Nelson Divide Suite 561 South Chris, PW 30170",,Bangladesh,4256,,
147,3852,Melissa Ayala,Melissa Ayala,Melissa Ayala,1904-05-10,1934-05-10,dustin33@hotmail.com,Female,2349058472,4512368579,Oxford,Computers,"47263 Jarvis Drives Rodriguezfort, SC 53361",,Heard Island and McDonald Islands,6767,,
254,1553,Garrett Russell,Garrett Russell,Garrett Russell,1934-05-10,1984-05-10,simonjoseph@gmail.com,Male,7240200570,6678097348,Oxford,Engineering,Unit 4730 Box 4414 DPO AP 26238,,Burkina Faso,4578,,
271,4122,Virginia Morrison,Virginia Morrison,Virginia Morrison,1984-05-10,1999-05-10,reginawilson@yahoo.com,Female,4607217722,6101330943,Cambridge,Engineering,"208 Robert Forks Markchester, CT 11910",,Albania,1546,,
453,3890,Benjamin Smith,Benjamin Smith,Benjamin Smith,1909-12-16,1934-05-10,kelsey32@gmail.com,Male,7346854124,8596363720,Cambridge,Law,"83321 Tricia Circle East Tommy, AS 12390",,Slovakia (Slovak Republic),77870,,
348,3791,Wanda West,Wanda West,Wanda West,1994-05-10,2015-05-10,qweaver@gmail.com,Female,6320484441,1293185908,University of Manchester,Architect,"31769 Jennifer Court Apt. 755 North Richard, WA 28297",,Kiribati,15788,,
406,4800,Zachary Baker,Zachary Baker,Zachary Baker,1909-12-16,1944-05-10,hogancody@gmail.com,Male,8293672170,1112301856,Oxford,Computers,"040 Calvin Well Suite 926 East Eric, ND 30531",,Svalbard & Jan Mayen Islands,35576,,
125,2637,Sarah Rodriguez,Sarah Rodriguez,Sarah Rodriguez,1984-05-10,,daniellemiller@gmail.com,Female,8413468264,7350314120,Cambridge,Computers,"0794 Hooper Prairie Lisaborough, GA 04884",,Equatorial Guinea,1568,,
3310,,Penny Freeman,,,2000-04-08,2000-03-11,dustin23@hotmail.com,Female,9357691109,,University of Manchester,Medical,"83842 Sampson Run New Zacharyberg, FL 36681",,,,"83842 Sampson Run New Zacharyberg, FL 36681",
4370,,Todd Weber Jr.,,,2018-03-08,2018-01-14,jillrogers@gmail.com,Male,8457504643,,University of Chicago,Engineering,"25301 Howard Terrace Port Christopher, MA 74669",,,,"25301 Howard Terrace Port Christopher, MA 74669",
1890,,Michael Craig,,,1982-09-14,1982-06-19,ywright@gmail.com,Male,4688092669,,Imperial College of London,Law,"388 Jones Avenue Mooreview, GA 34854",,,,"388 Jones Avenue Mooreview, GA 34854",
1488,,Melissa Glover,,,1907-03-17,1907-02-06,hammondjeremiah@yahoo.com,Female,1454934078,,Cambridge,Science,"6023 Kenneth Inlet Schwartzview, LA 93296",,,,"6023 Kenneth Inlet Schwartzview, LA 93296",
3769,,Jillian Allison,,,2002-08-06,2002-06-09,whumphrey@yahoo.com,Female,3532416548,,Oxford,Engineering,"46326 Strickland Village Huntermouth, VA 15353",,,,"46326 Strickland Village Huntermouth, VA 15353",
1078,,David Thomas,,,1992-11-22,1992-08-29,kali@hotmail.com,Male,2431991643,,Cambridge,Computers,"936 Henry Courts South Dawnborough, VI 92163",,,,"936 Henry Courts South Dawnborough, VI 92163",
3452,,Kathryn Campbell,,,2013-07-29,2013-05-05,seanwilson@gmail.com,Female,8192827075,,Cambridge,Medical,"0221 Osborne Crossing Keithton, NV 07565",,,,"0221 Osborne Crossing Keithton, NV 07565",
2757,,Tyler Holt,,,2008-07-09,2008-04-08,julie31@gmail.com,Male,4237525534,,Imperial College of London,Law,"462 Omar Crossroad Suite 132 Scottmouth, OR 16455",,,,"462 Omar Crossroad Suite 132 Scottmouth, OR 16455",
2855,,Jason Scott,,,1981-07-04,1981-07-03,kfreeman@hotmail.com,Male,5747708533,,University of Chicago,Engineering,"644 Joseph Extensions West Matthewland, NE 27357",,,,"644 Joseph Extensions West Matthewland, NE 27357",
1707,,Steven Adams,,,2017-01-24,2016-11-26,jessicahorn@yahoo.com,Male,1264750476,,Cambridge,Engineering,"6236 Mann Island Apt. 034 New Paulaland, VT 42582",,,,"6236 Mann Island Apt. 034 New Paulaland, VT 42582",
1118,,Jose Castillo MD,,,2001-08-25,2001-06-16,rduke@yahoo.com,Male,4580302454,,University of Manchester,Science,"180 Patterson Cliffs Suite 538 Jillfurt, MS 24667",,,,"180 Patterson Cliffs Suite 538 Jillfurt, MS 24667",
3601,,Natalie Murphy,,,1989-03-15,1989-02-09,wendy57@hotmail.com,Female,8355186836,,University of Manchester,Medical,Unit 3980 Box 1743 DPO AP 20343,,,,Unit 3980 Box 1743 DPO AP 20343,
4125,,Steven Flynn,,,1918-07-06,1918-05-07,ucampbell@hotmail.com,Male,7142452935,,University of Chicago,Engineering,"69940 Oliver Road Port Ericfurt, OK 79225",,,,"69940 Oliver Road Port Ericfurt, OK 79225",
2680,,Vanessa Kim,,,1930-01-26,1929-11-15,joel95@hotmail.com,Female,4883186493,,Oxford,Engineering,"PSC 5749, Box 0825 APO AP 74435",,,,"PSC 5749, Box 0825 APO AP 74435",
4039,,Sherry,,Townsend,2015-08-14,2015-06-12,caseytheodore@gmail.com,Female,8360899396,,Oxford,Computers,"09804 Jeffrey Keys Suite 785 Donnachester, NM 31792",,,,"09804 Jeffrey Keys Suite 785 Donnachester, NM 31792",
3534,,Ashley,,King,2000-08-22,2000-06-22,simpsonedwin@yahoo.com,Female,2735439950,,Cambridge,Science,"4200 Levine Fields East Lindaberg, HI 17283",,,,"4200 Levine FieldsEast Lindaberg, HI 17283",
