STUDENT_ID,FNAME,MIDDLE_NAME,LNAME,DOB,GENDER,ADDRESS1,ADDRESS2,EMAIL_ID,PHONE_NO,ALTERNATE_CONTACT_NO,COLLEGE_NAME,ENROLL_DATE,COLLEGE_ID,COURSE_ID,CREATED_DATE,UPDATED_DATE
3685,Kimberly,Kimberly Holland,Holland,2004-01-18 05:18:20,F,"92748 Ashley Flats Richardland, MA 59643","92748 Ashley Flats Richardland, MA 59643",alexconrad@hotmail.com,1857388934,9085735436,Pune institute of computer technology,2022-07-08 05:17:01,101,569,2022-09-27 13:13:13.338789,2022-09-27 13:13:13.558330
2553,Karen,Karen Anderson,Anderson,2004-09-10 12:59:46,F,"1850 Kayla Island New Tammy, GU 01105","1850 Kayla Island New Tammy, GU 01105",matthewperkins@yahoo.com,6378382730,9021872024,Pune institute of computer technology,2022-06-30 00:08:24,101,802,2022-09-27 13:13:13.521943,2022-09-27 13:13:13.123098
1892,Russell,Russell Taylor,Taylor,2004-02-22 14:54:24,M,"PSC 4048, Box 0265 APO AE 06317","PSC 4048, Box 0265 APO AE 06317",judithhanson@yahoo.com,1944494989,5441531621,Pune institute of computer technology,2022-07-16 00:27:25,101,535,2022-09-27 13:13:13.899660,2022-09-27 13:13:13.271108
3296,Karen,Karen Byrd,Byrd,2004-04-20 04:34:22,F,Unit 6532 Box 1259 DPO AA 46319,Unit 6532 Box 1259 DPO AA 46319,matthewbryan@hotmail.com,9202362147,8844901856,Pune institute of computer technology,2022-07-02 21:25:33,101,802,2022-09-27 13:13:13.465582,2022-09-27 13:13:13.647645
3689,Brenda,Brenda Morrow,Morrow,2004-03-04 10:26:14,F,"5310 Todd Club Apt. 990 Port Robert, OH 22756","5310 Todd Club Apt. 990 Port Robert, OH 22756",becksummer@yahoo.com,9976416330,6515032721,Pune institute of computer technology,2022-07-06 11:55:28,101,535,2022-09-27 13:13:13.499720,2022-09-27 13:13:13.321303
2967,Jonathan,Jonathan Beard,Beard,2004-12-08 05:46:42,M,"49823 Elizabeth Key Suite 971 Joycetown, TN 43996","49823 Elizabeth Key Suite 971 Joycetown, TN 43996",palmersteven@gmail.com,1484455162,5159032376,Pune institute of computer technology,2022-06-30 16:42:46,101,766,2022-09-27 13:13:13.217793,2022-09-27 13:13:13.132965
1342,James,James Delacruz,Delacruz,2005-01-13 15:21:03,M,"324 Ball Center Suite 140 South Johnburgh, PW 36595","324 Ball Center Suite 140 South Johnburgh, PW 36595",robertsrebecca@yahoo.com,6506467248,8176742261,Pune institute of computer technology,2022-07-13 06:05:38,101,802,2022-09-27 13:13:13.160060,2022-09-27 13:13:13.952113
2752,Ronald,Ronald Martin,Martin,2004-12-27 23:17:46,M,"179 Jennifer Ports Suite 345 Fergusonbury, MN 42775","179 Jennifer Ports Suite 345 Fergusonbury, MN 42775",brianjohnson@hotmail.com,2411738541,8042417263,Pune institute of computer technology,2022-06-28 00:02:37,101,569,2022-09-27 13:13:13.901044,2022-09-27 13:13:13.219822
1598,Michael,Michael Smith,Smith,2004-12-25 18:58:43,M,"035 Hansen Rapid Apt. 615 Brookestad, NV 82177","035 Hansen Rapid Apt. 615 Brookestad, NV 82177",harperdaniel@gmail.com,7937332992,4883875353,Pune institute of computer technology,2022-06-25 08:39:51,101,802,2022-09-27 13:13:13.805376,2022-09-27 13:13:13.176512
3158,Brian,Brian Roberts,Roberts,2004-05-10 16:52:13,M,"PSC 5843, Box 7355 APO AP 97301","PSC 5843, Box 7355 APO AP 97301",kendra72@hotmail.com,9807883274,8135499349,Pune institute of computer technology,2022-06-26 12:28:50,101,618,2022-09-27 13:13:13.105669,2022-09-27 13:13:13.541159
