STUD_ID,FIRST_NAME,LAST_NAME,BIRTHDATE,SEX,CURRENT_ADDRESS,PERMANENT_ADDRESS,EMAIL_ID,CONTACT_NO,COLLEGE_NAME,ENROLLMENT_DATE,COLLEGE_ID,COURSES_ID,CREATED_DATE,UPDATED_DATE
6207,Laura,Wright,2004-11-01 22:35:35,F,"445 Love Divide South Anthonyburgh, NE 11156","445 Love Divide South Anthonyburgh, NE 11156",saundersmonica@yahoo.com,2881484565,symbiosis institute of technology,2022-04-06 06:19:30,204,363,2023-01-04 13:08:55.690511,2023-01-04 13:08:55.773068
7493,Shannon,Garza,2004-09-23 08:42:26,M,"781 Brooks Causeway Michaelfort, IN 54042","781 Brooks Causeway Michaelfort, IN 54042",leonard06@gmail.com,9241711889,symbiosis institute of technology,2022-06-26 22:12:47,204,318,2023-01-04 13:08:55.669209,2023-01-04 13:08:55.388919
6043,Jennifer,Williams,2004-09-17 03:02:01,F,"7109 Joshua Ports Torreshaven, NJ 38817","7109 Joshua Ports Torreshaven, NJ 38817",greenlori@gmail.com,6389470527,symbiosis institute of technology,2022-05-10 17:59:52,204,288,2023-01-04 13:08:55.526953,2023-01-04 13:08:55.948901
8885,Dana,Brown,2004-02-28 09:53:59,F,"907 Benjamin Dam Port Geraldville, PA 41536","907 Benjamin Dam Port Geraldville, PA 41536",emily38@hotmail.com,3948282369,symbiosis institute of technology,2022-04-02 20:04:42,204,363,2023-01-04 13:08:55.392841,2023-01-04 13:08:55.505865
7918,Jose,Duran,2005-02-21 13:36:01,M,"29237 Palmer Run Juliafurt, VI 80769","29237 Palmer Run Juliafurt, VI 80769",pruittdarrell@gmail.com,5048210316,symbiosis institute of technology,2022-05-13 21:57:23,204,217,2023-01-04 13:08:55.979489,2023-01-04 13:08:55.641828
7491,Brian,Miller,2004-01-09 04:42:04,M,"860 Ricky Mall Michaelburgh, OK 62821","860 Ricky Mall Michaelburgh, OK 62821",zfranklin@yahoo.com,3173423930,symbiosis institute of technology,2022-05-04 09:45:11,204,288,2023-01-04 13:08:55.181059,2023-01-04 13:08:55.316521
7657,George,Abbott,2004-01-23 06:18:09,M,"50661 Jason Oval Apt. 140 Port Nicholas, TN 89532","50661 Jason Oval Apt. 140 Port Nicholas, TN 89532",upittman@gmail.com,5944418998,symbiosis institute of technology,2022-06-08 16:13:06,204,281,2023-01-04 13:08:55.901971,2023-01-04 13:08:55.692497
8450,Eric,Miller,2005-03-14 06:19:39,M,"PSC 0001, Box 3994 APO AP 97343","PSC 0001, Box 3994 APO AP 97343",melissaferguson@yahoo.com,8305313982,symbiosis institute of technology,2022-05-20 00:51:57,204,281,2023-01-04 13:08:55.488338,2023-01-04 13:08:55.729278
8962,Alexandra,Black,2005-03-20 02:03:39,F,"5856 Brittney Hollow Apt. 929 Jennifertown, MD 58006","5856 Brittney Hollow Apt. 929 Jennifertown, MD 58006",chill@yahoo.com,4591580330,symbiosis institute of technology,2022-06-21 08:47:05,204,247,2023-01-04 13:08:55.884486,2023-01-04 13:08:55.153783
7054,Vanessa,Miller,2004-09-14 04:37:25,F,USS Walker FPO AA 81729,USS Walker FPO AA 81729,hodgesleah@gmail.com,9178766116,symbiosis institute of technology,2022-04-08 13:44:30,204,217,2023-01-04 13:08:55.461538,2023-01-04 13:08:55.892343
