STUDENT_ID,ENROLLMENT_NUMBER,FIRST_NAME,MIDDLE_NAME,LAST_NAME,BIRTHDAY,ENROLLMENT_DATE,EMAIL_ID,GENDER,CONTACT_NO,ALTERNATE_NO,UNIVERSITY-NAME,COURSE_NAME,ADDRESS,CITY,COUNTRY,PINCODE
167,4701,Tristan Lopez,Tristan Lopez,Tristan Lopez,1990-05-10,2021-05-10,meghan46@yahoo.com,M,3997647286,6631384022,Oxford,Architect,"0473 Lance Falls North Dennis, MS 31358",,Gabon,43255
433,2092,Brianna Weber,Brianna Weber,Brianna Weber,1914-05-10,1964-05-10,craigsmith@yahoo.com,F,5236827147,8294985210,Oxford,Computers,"13384 Hodges Gateway Harrismouth, MO 79076",,Puerto Rico,4543
326,3781,Tiffany Lewis,Tiffany Lewis,Tiffany Lewis,1984-05-10,2009-12-16,christine44@yahoo.com,F,3941785617,5992661270,Imperial College of London,Science,"USS Li FPO AA 26998",,Venezuela,56576
222,1504,David Hamilton,David Hamilton,David Hamilton,1984-05-10,2004-05-10,tobrien@gmail.com,M,7048841730,9336921597,Cambridge,Science,"222 Kelsey Via West Maryfurt, MA 93819",,Timor-Leste,766588
249,2451,Brian Hayden,Brian Hayden,Brian Hayden,1984-05-10,1999-06-10,phyllisnelson@gmail.com,M,2246191305,4687206482,Imperial College of London,Science,"9657 Tracy Mills Port Amy, GU 18028",,Marshall Islands,356
430,2045,Joan Williams,Joan Williams,Joan Williams,1984-05-10,1999-05-10,lawrencenelson@gmail.com,F,7958320435,8956292765,Oxford,Engineering,"4054 Timothy WaysEast Sophia, TX 80097",,Saint Helena,5667
209,3606,Benjamin Clark,Benjamin Clark,Benjamin Clark,1909-12-16,1999-01-10,justinnewman@hotmail.com,M,4592329690,8746835928,University of Chicago,Engineering,"763 Rachel Court Austinland, NM 74361",,Turkey,65676
472,3119,Erika Henson,Erika Henson,Erika Henson,1914-05-10,1954-5-11,allisonnorris@hotmail.com,F,7584847302,6608057919,University of Chicago,Law,"5954 Tracy Street Jenniferton, UT 47857",,Jersey,
422,4316,Angie Torres,Angie Torres,Angie Torres,1899-05-10,1909-12-16,jacksonmichael@yahoo.com,F,3899469222,1599598471,University of Manchester,Law,"28021 Roberts Springs Apt. 841 Kellyton, NC 89653",,Nicaragua,
244,3671,Lee Johnson,Lee Johnson,Lee Johnson,1990-05-10,2012-05-10,kennethmiller@hotmail.com,M,2253466560,9494220405,University of Chicago,Engineering,"788 Hudson Bypass Dylanhaven, MO 36720",,Zimbabwe,
328,1173,Kyle Gonzalez,Kyle Gonzalez,Kyle Gonzalez,1992-05-10,2012-05-10,ucabrera@gmail.com,M,4718289612,9002534539,Imperial College of London,Medical,"Unit 5174 Box 8401 DPO AA 67284",,Angola,56457
453,2066,Andrew Giles,Andrew Giles,Andrew Giles,1909-12-16,1944-05-10,bowmandiana@gmail.com,M,8783031819,2707661617,Oxford,Medical,"157 Miller Lodge North Cynthia, NJ 50438",,Malawi,67758
347,2674,Kimberly Jensen,Kimberly Jensen,Kimberly Jensen,1984-05-10,2000-05-10,cathy90@gmail.com,F,4341553782,4808681637,University of Manchester,Architect,"0759 Nelson Divide Suite 561 South Chris, PW 30170",,Bangladesh,4256
147,3852,Melissa Ayala,Melissa Ayala,Melissa Ayala,1904-05-10,1934-05-10,dustin33@hotmail.com,F,2349058472,4512368579,Oxford,Computers,"47263 Jarvis Drives Rodriguezfort, SC 53361",,Heard Island and McDonald Islands,6767
254,1553,Garrett Russell,Garrett Russell,Garrett Russell,1934-05-10,1984-05-10,simonjoseph@gmail.com,M,7240200570,6678097348,Oxford,Engineering,"Unit 4730 Box 4414 DPO AP 26238",,Burkina Faso,4578
271,4122,Virginia Morrison,Virginia Morrison,Virginia Morrison,1984-05-10,1999-05-10,reginawilson@yahoo.com,F,4607217722,6101330943,Cambridge,Engineering,"208 Robert Forks Markchester, CT 11910",,Albania,1546
453,3890,Benjamin Smith,Benjamin Smith,Benjamin Smith,1909-12-16,1934-05-10,kelsey32@gmail.com,M,7346854124,8596363720,Cambridge,Law,"83321 Tricia Circle East Tommy, AS 12390",,Slovakia (Slovak Republic),77870
348,3791,Wanda West,Wanda West,Wanda West,1994-05-10,2015-05-10,qweaver@gmail.com,F,6320484441,1293185908,University of Manchester,Architect,"31769 Jennifer Court Apt. 755 North Richard, WA 28297",,Kiribati,15788
406,4800,Zachary Baker,Zachary Baker,Zachary Baker,1909-12-16,1944-05-10,hogancody@gmail.com,M,8293672170,1112301856,Oxford,Computers,"040 Calvin Well Suite 926 East Eric, ND 30531",,Svalbard & Jan Mayen Islands,35576
125,2637,Sarah Rodriguez,Sarah Rodriguez,Sarah Rodriguez,1984-05-10,,daniellemiller@gmail.com,F,8413468264,7350314120,Cambridge,Computers,"0794 Hooper Prairie Lisaborough, GA 04884",,Equatorial Guinea,1568
